sigma,0.01,0.03,0.1,0.3,1.0,3.0,10.0,30.0
C,,,,,,,,
0.01,0.4976303317535545,0.4976303317535545,0.5023696682464455,0.5023696682464455,0.5023696682464455,0.8151658767772512,0.5023696682464455,0.5023696682464455
0.03,0.5023696682464455,0.4976303317535545,0.5023696682464455,0.8672985781990521,0.8009478672985783,0.4976303317535545,0.5023696682464455,0.5023696682464455
0.1,0.5023696682464455,0.5023696682464455,0.9478672985781991,0.8720379146919431,0.8246445497630331,0.8104265402843602,0.4976303317535545,0.8293838862559242
0.3,0.5023696682464455,0.985781990521327,0.9478672985781991,0.8957345971563981,0.8720379146919431,0.5924170616113744,0.4976303317535545,0.8009478672985783
1.0,1.0,0.995260663507109,0.9478672985781991,0.933649289099526,0.9004739336492891,0.8246445497630331,0.8246445497630331,0.4976303317535545
3.0,1.0,1.0,0.943127962085308,0.943127962085308,0.9241706161137441,0.8720379146919431,0.8104265402843602,0.4976303317535545
10.0,1.0,1.0,0.9620853080568721,0.933649289099526,0.9289099526066351,0.8862559241706162,0.8483412322274881,0.4976303317535545
30.0,1.0,1.0,0.9478672985781991,0.943127962085308,0.9241706161137441,0.9241706161137441,0.8578199052132701,0.7582938388625592
,,,,,,,,